OrderID,CustomerID,RestaurantID,OrderTimestamp,OrderAmount,DiscountAmount,DeliveryFee,PaymentMode,OrderStatus,CustomerName,CustomerCity,SignupTime,AcquisitionChannel,RestaurantName,Cuisine,RestaurantCity,AvgRating,OrderYear,OrderMonth,DaysSinceSignup,IsDelivered,IsCancelled,IsRefunded,NetAmount
O000011,C01535,R0116,2025-05-06,1043.57,0.0,30.0,UPI,Delivered,Rohan Agarwal,Pune,2024-08-20,Instagram Ads,Haldiram's,Healthy,Delhi,4.6,2025,5,259,True,False,False,1043.57
O000012,C00730,R0137,2024-01-25,741.62,0.0,34.0,Cash,Cancelled,Neha Singh,Bengaluru,2024-08-11,Google Ads,Pizza Hut,Biryani,Chennai,4.0,2024,1,-199,False,True,False,741.62
O000013,C02991,R0068,2024-03-27,759.12,75.91,55.0,UPI,Delivered,Ananya Mishra,Noida,2024-07-13,WhatsApp Campaign,Barbeque Nation,Biryani,Chennai,4.4,2024,3,-108,True,False,False,683.21
O000014,C02158,R0144,2025-05-17,533.36,0.0,47.0,Card,Cancelled,Amit Kumar,Bengaluru,2024-01-11,Instagram Ads,Behrouz Biryani,Pizza,Gurugram,3.6,2025,5,492,False,True,False,533.36
O000015,C00536,R0078,2025-05-22,411.96,41.2,39.0,UPI,Refunded,Priya Verma,Gurugram,2024-06-05,WhatsApp Campaign,Biryani By Kilo,Healthy,Hyderabad,4.3,2025,5,351,False,False,True,370.76
O000016,C03438,R0183,2025-11-02,642.6,0.0,25.0,Wallet,Delivered,Rohan Agarwal,Gurugram,2025-05-14,Referral,KFC,Biryani,Chennai,4.0,2025,11,172,True,False,False,642.6
O000017,C00465,R0169,2025-01-30,523.91,0.0,53.0,Cash,Cancelled,Priya Verma,Bengaluru,2025-07-05,WhatsApp Campaign,Behrouz Biryani,Healthy,Noida,4.3,2025,1,-156,False,True,False,523.91
O000018,C03813,R0179,2025-07-09,1436.69,0.0,25.0,Card,Refunded,Arjun Gupta,Bengaluru,2025-09-15,Google Ads,Subway,Cafe,Delhi,4.3,2025,7,-68,False,False,True,1436.69
O000019,C02596,R0192,2024-02-21,1458.62,145.86,36.0,UPI,Refunded,Neha Singh,Hyderabad,2024-05-22,Referral,Haldiram's,Fast Food,Noida,5.0,2024,2,-91,False,False,True,1312.7599999999998
O000020,C04391,R0187,2025-01-14,1388.36,0.0,36.0,UPI,Delivered,Rahul Sharma,Delhi,2025-04-27,Organic,Pizza Hut,North Indian,Chennai,4.3,2025,1,-103,True,False,False,1388.36
O000021,C01457,R0194,2026-03-29,809.96,0.0,56.0,UPI,Delivered,Neha Singh,Hyderabad,2025-12-01,Instagram Ads,Haldiram's,Fast Food,Chennai,4.8,2026,3,118,True,False,False,809.96
O000022,C01354,R0117,2024-07-27,1122.3,0.0,59.0,UPI,Delivered,Rahul Sharma,Mumbai,2025-06-09,WhatsApp Campaign,Behrouz Biryani,Pizza,Mumbai,4.2,2024,7,-317,True,False,False,1122.3
O000023,C00330,R0159,2024-12-23,1245.68,124.57,29.0,Wallet,Cancelled,Amit Kumar,Pune,2024-07-02,Organic,KFC,Pizza,Gurugram,4.6,2024,12,174,False,True,False,1121.1100000000001
O000024,C03256,R0028,2025-12-07,1385.83,0.0,47.0,UPI,Delivered,Sneha Patel,Pune,2024-03-16,Google Ads,Haldiram's,Fast Food,Hyderabad,4.8,2025,12,631,True,False,False,1385.83
O000025,C01970,R0181,2024-01-28,1463.95,0.0,30.0,Wallet,Delivered,Priya Verma,Bengaluru,2025-06-26,WhatsApp Campaign,Subway,Fast Food,Hyderabad,4.6,2024,1,-515,True,False,False,1463.95
O000026,C03354,R0014,2026-04-22,1371.73,0.0,34.0,Card,Refunded,Priya Verma,Pune,2025-11-15,WhatsApp Campaign,KFC,Pizza,Mumbai,4.2,2026,4,158,False,False,True,1371.73
O000027,C03809,R0025,2024-11-30,1399.48,0.0,57.0,Card,Refunded,Sneha Patel,Mumbai,2025-01-20,Google Ads,Haldiram's,Fast Food,Pune,4.8,2024,11,-51,False,False,True,1399.48
O000028,C01688,R0127,2025-09-04,1039.36,103.94,33.0,UPI,Delivered,Amit Kumar,Gurugram,2024-05-26,WhatsApp Campaign,Domino's Pizza,Cafe,Noida,4.5,2025,9,466,True,False,False,935.4199999999998
O000029,C04993,R0088,2025-04-29,375.98,0.0,21.0,UPI,Delivered,Rohan Agarwal,Gurugram,2024-08-24,Referral,Barbeque Nation,North Indian,Chennai,3.9,2025,4,248,True,False,False,375.98
O000030,C02395,R0102,2025-10-05,1494.37,0.0,36.0,UPI,Delivered,Ananya Mishra,Bengaluru,2025-11-07,Organic,Starbucks,Fast Food,Noida,4.9,2025,10,-33,True,False,False,1494.37
O000031,C01417,R0006,2025-08-08,832.19,83.22,23.0,Cash,Refunded,Ananya Mishra,Noida,2025-02-21,Instagram Ads,Burger King,Healthy,Noida,4.6,2025,8,168,False,False,True,748.97
O000032,C03156,R0077,2024-02-11,952.83,95.28,22.0,Wallet,Cancelled,Amit Kumar,Delhi,2025-05-25,Google Ads,Biryani By Kilo,Pizza,Hyderabad,4.0,2024,2,-469,False,True,False,857.5500000000001
O000033,C04912,R0008,2026-03-15,1016.04,101.6,42.0,UPI,Delivered,Arjun Gupta,Chennai,2024-10-27,Google Ads,Chaayos,Pizza,Delhi,3.7,2026,3,504,True,False,False,914.4399999999999
O000034,C00772,R0123,2024-12-03,420.59,0.0,34.0,UPI,Delivered,Rahul Sharma,Noida,2025-03-09,WhatsApp Campaign,Domino's Pizza,Fast Food,Delhi,4.7,2024,12,-96,True,False,False,420.59
O000035,C00181,R0111,2024-11-16,1088.19,0.0,27.0,Card,Delivered,Arjun Gupta,Delhi,2024-11-20,Referral,Biryani By Kilo,Cafe,Chennai,3.5,2024,11,-4,True,False,False,1088.19
O000036,C02217,R0200,2025-01-28,1468.44,146.84,60.0,Cash,Delivered,Rohan Agarwal,Mumbai,2025-06-18,Referral,Pizza Hut,Fast Food,Mumbai,3.8,2025,1,-141,True,False,False,1321.6000000000001
O000037,C00747,R0063,2024-04-04,1429.36,142.94,28.0,UPI,Refunded,Amit Kumar,Bengaluru,2024-03-18,Google Ads,Burger King,North Indian,Pune,3.7,2024,4,17,False,False,True,1286.4199999999998
O000038,C02981,R0180,2024-10-05,814.98,0.0,52.0,UPI,Refunded,Ananya Mishra,Gurugram,2025-06-28,WhatsApp Campaign,KFC,North Indian,Hyderabad,3.7,2024,10,-266,False,False,True,814.98
O000039,C00999,R0074,2024-05-31,1276.79,0.0,54.0,Card,Cancelled,Amit Kumar,Bengaluru,2024-09-12,WhatsApp Campaign,Starbucks,North Indian,Gurugram,4.2,2024,5,-104,False,True,False,1276.79
O000040,C03926,R0132,2025-02-05,754.69,0.0,52.0,Wallet,Delivered,Priya Verma,Mumbai,2024-03-11,WhatsApp Campaign,Pizza Hut,Healthy,Hyderabad,4.3,2025,2,331,True,False,False,754.69
O000041,C01593,R0090,2024-01-04,1047.87,104.79,24.0,Card,Refunded,Ananya Mishra,Hyderabad,2025-06-09,WhatsApp Campaign,Starbucks,Cafe,Hyderabad,4.0,2024,1,-522,False,False,True,943.0799999999999
O000042,C01264,R0134,2025-07-14,537.96,0.0,53.0,Wallet,Refunded,Rahul Sharma,Pune,2025-08-08,Instagram Ads,Behrouz Biryani,Healthy,Delhi,3.9,2025,7,-25,False,False,True,537.96
O000043,C03866,R0007,2025-06-30,1005.71,100.57,29.0,UPI,Cancelled,Neha Singh,Gurugram,2025-11-21,Organic,Barbeque Nation,Cafe,Hyderabad,4.6,2025,6,-144,False,True,False,905.1400000000001
O000044,C01894,R0154,2024-04-30,443.6,0.0,50.0,UPI,Delivered,Rohan Agarwal,Hyderabad,2024-02-03,Referral,Behrouz Biryani,Biryani,Pune,4.9,2024,4,87,True,False,False,443.6
O000045,C04782,R0017,2025-03-22,309.8,30.98,46.0,Cash,Cancelled,Rohan Agarwal,Hyderabad,2025-03-09,WhatsApp Campaign,Domino's Pizza,Biryani,Chennai,4.7,2025,3,13,False,True,False,278.82
O000046,C02148,R0066,2024-02-19,849.15,0.0,53.0,UPI,Delivered,Rahul Sharma,Gurugram,2024-05-25,WhatsApp Campaign,Domino's Pizza,Healthy,Mumbai,4.8,2024,2,-96,True,False,False,849.15
O000047,C02632,R0159,2024-03-22,1242.26,124.23,22.0,Cash,Delivered,Priya Verma,Chennai,2025-04-10,WhatsApp Campaign,KFC,Pizza,Gurugram,4.6,2024,3,-384,True,False,False,1118.03
O000048,C00639,R0139,2024-09-06,674.9,67.49,45.0,Wallet,Delivered,Rohan Agarwal,Chennai,2025-10-11,Google Ads,McDonald's,North Indian,Bengaluru,4.9,2024,9,-400,True,False,False,607.41
O000049,C03795,R0046,2024-12-07,341.78,0.0,41.0,Wallet,Delivered,Amit Kumar,Hyderabad,2024-10-13,Referral,KFC,North Indian,Delhi,4.3,2024,12,55,True,False,False,341.78
O000050,C01610,R0105,2026-02-09,518.54,51.85,56.0,UPI,Delivered,Rohan Agarwal,Chennai,2024-06-11,WhatsApp Campaign,McDonald's,Healthy,Mumbai,4.0,2026,2,608,True,False,False,466.68999999999994
O000051,C02067,R0016,2025-02-18,896.63,0.0,35.0,UPI,Cancelled,Priya Verma,Noida,2025-04-15,Google Ads,Burger King,Pizza,Chennai,4.7,2025,2,-56,False,True,False,896.63
O000052,C04069,R0091,2025-09-23,1320.9,0.0,51.0,UPI,Cancelled,Rohan Agarwal,Chennai,2024-11-04,Instagram Ads,Chaayos,Pizza,Bengaluru,4.5,2025,9,323,False,True,False,1320.9
O000053,C04106,R0110,2024-12-05,1230.92,123.09,29.0,UPI,Delivered,Rohan Agarwal,Gurugram,2024-04-12,Referral,Domino's Pizza,North Indian,Chennai,3.8,2024,12,237,True,False,False,1107.8300000000002
O000054,C00884,R0011,2024-10-29,458.49,45.85,31.0,UPI,Delivered,Sneha Patel,Mumbai,2024-08-26,Instagram Ads,Barbeque Nation,North Indian,Pune,4.8,2024,10,64,True,False,False,412.64
O000055,C03323,R0150,2024-01-21,299.14,0.0,44.0,UPI,Delivered,Neha Singh,Mumbai,2025-03-27,Referral,Biryani By Kilo,Biryani,Mumbai,4.1,2024,1,-431,True,False,False,299.14
O000056,C00442,R0171,2024-08-11,920.88,92.09,22.0,Cash,Refunded,Rahul Sharma,Hyderabad,2024-03-07,WhatsApp Campaign,Pizza Hut,Fast Food,Delhi,4.5,2024,8,157,False,False,True,828.79
O000057,C02706,R0103,2026-01-15,326.57,0.0,54.0,Wallet,Delivered,Priya Verma,Gurugram,2024-11-24,Organic,Haldiram's,Pizza,Chennai,4.9,2026,1,417,True,False,False,326.57
O000058,C04803,R0076,2025-08-10,739.95,0.0,27.0,Cash,Cancelled,Rohan Agarwal,Mumbai,2024-07-20,WhatsApp Campaign,McDonald's,Fast Food,Noida,4.6,2025,8,386,False,True,False,739.95
O000059,C04373,R0188,2026-01-03,1335.6,0.0,58.0,Card,Refunded,Neha Singh,Pune,2025-02-27,WhatsApp Campaign,Behrouz Biryani,Fast Food,Gurugram,4.6,2026,1,310,False,False,True,1335.6
O000060,C02739,R0021,2026-04-21,1127.84,0.0,59.0,Wallet,Delivered,Arjun Gupta,Pune,2025-10-19,Google Ads,Barbeque Nation,Fast Food,Mumbai,4.4,2026,4,184,True,False,False,1127.84
O000061,C04455,R0184,2024-02-12,1467.44,146.74,43.0,Cash,Cancelled,Neha Singh,Noida,2025-09-06,WhatsApp Campaign,KFC,Pizza,Gurugram,3.5,2024,2,-572,False,True,False,1320.7
O000062,C02699,R0020,2025-06-28,630.68,63.07,43.0,UPI,Delivered,Ananya Mishra,Bengaluru,2025-03-31,WhatsApp Campaign,Burger King,Fast Food,Noida,4.9,2025,6,89,True,False,False,567.6099999999999
O000063,C02967,R0006,2024-06-17,700.44,0.0,59.0,Cash,Refunded,Priya Verma,Bengaluru,2024-11-23,Google Ads,Burger King,Healthy,Noida,4.6,2024,6,-159,False,False,True,700.44
O000064,C03353,R0009,2024-12-07,1306.36,130.64,44.0,UPI,Delivered,Amit Kumar,Bengaluru,2024-10-27,Organic,Biryani By Kilo,Healthy,Pune,4.0,2024,12,41,True,False,False,1175.7199999999998
O000065,C01918,R0039,2024-11-01,592.24,59.22,33.0,Cash,Delivered,Rohan Agarwal,Chennai,2024-08-06,WhatsApp Campaign,Starbucks,North Indian,Mumbai,3.6,2024,11,87,True,False,False,533.02
O000066,C03757,R0074,2025-01-02,373.15,37.31,36.0,Card,Delivered,Ananya Mishra,Delhi,2025-06-14,Instagram Ads,Starbucks,North Indian,Gurugram,4.2,2025,1,-163,True,False,False,335.84
O000067,C03410,R0173,2024-08-16,1042.71,0.0,59.0,Wallet,Delivered,Rohan Agarwal,Chennai,2025-01-16,Instagram Ads,Behrouz Biryani,North Indian,Hyderabad,4.8,2024,8,-153,True,False,False,1042.71
O000068,C00480,R0005,2025-07-27,587.46,0.0,27.0,UPI,Delivered,Ananya Mishra,Noida,2024-07-19,Instagram Ads,Pizza Hut,North Indian,Mumbai,5.0,2025,7,373,True,False,False,587.46
O000069,C00544,R0180,2024-04-03,1448.11,0.0,60.0,Card,Cancelled,Ananya Mishra,Delhi,2024-04-17,Instagram Ads,KFC,North Indian,Hyderabad,3.7,2024,4,-14,False,True,False,1448.11
O000070,C01089,R0143,2024-12-08,626.96,62.7,27.0,Wallet,Refunded,Arjun Gupta,Chennai,2025-05-09,Google Ads,Domino's Pizza,North Indian,Pune,4.1,2024,12,-152,False,False,True,564.26
O000071,C00450,R0143,2024-09-12,1291.47,129.15,60.0,Wallet,Delivered,Priya Verma,Pune,2024-11-05,WhatsApp Campaign,Domino's Pizza,North Indian,Pune,4.1,2024,9,-54,True,False,False,1162.32
O000072,C00606,R0057,2024-03-13,330.09,33.01,56.0,Wallet,Delivered,Rahul Sharma,Gurugram,2024-09-11,Referral,Behrouz Biryani,Cafe,Bengaluru,4.9,2024,3,-182,True,False,False,297.08
O000073,C00694,R0139,2024-01-02,709.35,70.94,59.0,Wallet,Refunded,Sneha Patel,Chennai,2024-03-28,Instagram Ads,McDonald's,North Indian,Bengaluru,4.9,2024,1,-86,False,False,True,638.4100000000001
O000074,C01900,R0096,2025-04-04,781.06,0.0,32.0,Wallet,Cancelled,Priya Verma,Bengaluru,2025-10-10,Instagram Ads,Burger King,Biryani,Gurugram,4.8,2025,4,-189,False,True,False,781.06
O000075,C00376,R0141,2024-02-01,354.52,0.0,50.0,UPI,Cancelled,Rohan Agarwal,Chennai,2025-09-22,WhatsApp Campaign,Starbucks,Biryani,Noida,4.5,2024,2,-599,False,True,False,354.52
O000076,C01082,R0081,2025-07-24,1427.74,0.0,29.0,Cash,Cancelled,Amit Kumar,Delhi,2024-10-04,Referral,Starbucks,Pizza,Noida,3.7,2025,7,293,False,True,False,1427.74
O000077,C03101,R0047,2025-02-15,558.46,0.0,47.0,Card,Delivered,Neha Singh,Noida,2024-05-04,WhatsApp Campaign,Starbucks,Cafe,Pune,3.5,2025,2,287,True,False,False,558.46
O000078,C00217,R0123,2024-10-15,577.21,57.72,25.0,UPI,Delivered,Sneha Patel,Bengaluru,2024-04-07,WhatsApp Campaign,Domino's Pizza,Fast Food,Delhi,4.7,2024,10,191,True,False,False,519.49
O000079,C02282,R0173,2024-01-27,1453.76,145.38,22.0,Cash,Delivered,Neha Singh,Hyderabad,2024-04-09,Organic,Behrouz Biryani,North Indian,Hyderabad,4.8,2024,1,-73,True,False,False,1308.38
O000080,C03566,R0170,2025-05-28,1466.0,146.6,55.0,Wallet,Cancelled,Arjun Gupta,Bengaluru,2025-01-03,WhatsApp Campaign,Barbeque Nation,North Indian,Chennai,4.6,2025,5,145,False,True,False,1319.4
O000081,C01992,R0045,2024-06-18,703.04,70.3,23.0,UPI,Delivered,Sneha Patel,Mumbai,2025-09-02,WhatsApp Campaign,Biryani By Kilo,Cafe,Mumbai,4.0,2024,6,-441,True,False,False,632.74
O000082,C01363,R0051,2026-01-15,321.1,32.11,28.0,UPI,Cancelled,Amit Kumar,Hyderabad,2024-06-20,Google Ads,Burger King,Cafe,Gurugram,4.9,2026,1,574,False,True,False,288.99
O000083,C03368,R0188,2026-04-16,1435.1,0.0,20.0,Card,Cancelled,Priya Verma,Gurugram,2025-05-30,Instagram Ads,Behrouz Biryani,Fast Food,Gurugram,4.6,2026,4,321,False,True,False,1435.1
O000084,C03869,R0065,2026-04-15,364.65,0.0,50.0,UPI,Delivered,Arjun Gupta,Hyderabad,2025-03-16,Google Ads,Burger King,Cafe,Gurugram,3.5,2026,4,395,True,False,False,364.65
O000085,C03046,R0110,2025-05-16,1161.11,0.0,37.0,UPI,Cancelled,Rahul Sharma,Bengaluru,2025-09-20,Referral,Domino's Pizza,North Indian,Chennai,3.8,2025,5,-127,False,True,False,1161.11
O000086,C03944,R0074,2024-12-26,917.68,91.77,44.0,Wallet,Delivered,Rohan Agarwal,Mumbai,2025-09-11,Referral,Starbucks,North Indian,Gurugram,4.2,2024,12,-259,True,False,False,825.91
O000087,C03322,R0076,2026-04-26,294.37,29.44,36.0,UPI,Delivered,Neha Singh,Delhi,2024-02-17,Instagram Ads,McDonald's,Fast Food,Noida,4.6,2026,4,799,True,False,False,264.93
O000088,C03698,R0089,2025-02-12,1268.06,126.81,53.0,Cash,Refunded,Arjun Gupta,Bengaluru,2025-07-08,Organic,Starbucks,Healthy,Noida,3.5,2025,2,-146,False,False,True,1141.25
O000089,C04191,R0056,2024-12-16,330.07,0.0,28.0,Cash,Cancelled,Neha Singh,Hyderabad,2025-03-05,Referral,KFC,North Indian,Bengaluru,4.0,2024,12,-79,False,True,False,330.07
O000090,C03834,R0128,2026-02-08,1540.26,0.0,47.0,UPI,Cancelled,Ananya Mishra,Gurugram,2024-05-28,Referral,KFC,Fast Food,Hyderabad,3.6,2026,2,621,False,True,False,1540.26
O000091,C04746,R0144,2024-10-06,815.24,81.52,46.0,UPI,Refunded,Priya Verma,Chennai,2024-03-07,Referral,Behrouz Biryani,Pizza,Gurugram,3.6,2024,10,213,False,False,True,733.72
O000092,C03155,R0053,2024-02-10,900.39,0.0,32.0,UPI,Delivered,Arjun Gupta,Gurugram,2024-06-18,Organic,Starbucks,Cafe,Chennai,4.5,2024,2,-129,True,False,False,900.39
O000093,C04117,R0049,2025-07-14,1258.04,125.8,43.0,Card,Cancelled,Sneha Patel,Delhi,2025-04-12,Google Ads,Barbeque Nation,Fast Food,Bengaluru,4.1,2025,7,93,False,True,False,1132.24
O000094,C02812,R0025,2024-11-26,904.28,90.43,40.0,Card,Cancelled,Amit Kumar,Chennai,2024-01-15,Google Ads,Haldiram's,Fast Food,Pune,4.8,2024,11,316,False,True,False,813.8499999999999
O000095,C03623,R0003,2026-04-12,1176.31,117.63,21.0,Card,Cancelled,Rohan Agarwal,Mumbai,2025-01-24,Referral,Barbeque Nation,Pizza,Chennai,4.1,2026,4,443,False,True,False,1058.6799999999998
O000096,C01839,R0037,2024-08-18,574.24,0.0,38.0,Cash,Cancelled,Arjun Gupta,Hyderabad,2025-04-30,Organic,Barbeque Nation,North Indian,Pune,4.7,2024,8,-255,False,True,False,574.24
O000097,C01670,R0185,2025-03-06,1457.83,145.78,57.0,Card,Delivered,Rohan Agarwal,Delhi,2024-04-08,Google Ads,Barbeque Nation,Cafe,Chennai,4.4,2025,3,332,True,False,False,1312.05
O000098,C02478,R0068,2024-03-05,751.41,0.0,60.0,Wallet,Delivered,Amit Kumar,Hyderabad,2024-11-10,Google Ads,Barbeque Nation,Biryani,Chennai,4.4,2024,3,-250,True,False,False,751.41
O000099,C00295,R0075,2024-09-28,1442.24,0.0,50.0,Cash,Delivered,Rohan Agarwal,Gurugram,2025-09-29,Organic,Barbeque Nation,Fast Food,Gurugram,4.2,2024,9,-366,True,False,False,1442.24
O000100,C01208,R0119,2024-09-29,397.45,39.75,38.0,UPI,Delivered,Sneha Patel,Hyderabad,2025-01-17,Referral,Starbucks,Biryani,Pune,4.0,2024,9,-110,True,False,False,357.7
O000101,C04034,R0095,2024-07-09,1444.09,0.0,41.0,UPI,Delivered,Priya Verma,Pune,2025-01-14,WhatsApp Campaign,McDonald's,Pizza,Mumbai,4.1,2024,7,-189,True,False,False,1444.09
O000102,C02224,R0079,2025-12-06,1113.93,111.39,26.0,Wallet,Cancelled,Rahul Sharma,Delhi,2024-12-15,WhatsApp Campaign,Haldiram's,North Indian,Bengaluru,3.8,2025,12,356,False,True,False,1002.5400000000001
O000103,C01703,R0083,2025-02-04,1232.65,0.0,36.0,UPI,Refunded,Arjun Gupta,Gurugram,2025-11-26,Referral,Starbucks,Pizza,Chennai,4.7,2025,2,-295,False,False,True,1232.65
O000104,C03544,R0178,2026-02-04,1403.67,0.0,56.0,UPI,Delivered,Amit Kumar,Mumbai,2025-03-23,Referral,Behrouz Biryani,North Indian,Chennai,4.4,2026,2,318,True,False,False,1403.67
O000105,C01320,R0051,2024-04-20,528.24,0.0,34.0,UPI,Delivered,Neha Singh,Gurugram,2024-08-13,Organic,Burger King,Cafe,Gurugram,4.9,2024,4,-115,True,False,False,528.24
O000106,C00163,R0023,2025-06-03,1232.47,0.0,56.0,UPI,Cancelled,Priya Verma,Mumbai,2025-05-24,Organic,Starbucks,Fast Food,Mumbai,4.1,2025,6,10,False,True,False,1232.47
O000107,C04032,R0031,2025-08-08,1269.69,0.0,41.0,Wallet,Cancelled,Sneha Patel,Chennai,2025-11-09,WhatsApp Campaign,Burger King,North Indian,Chennai,4.6,2025,8,-93,False,True,False,1269.69
O000108,C03410,R0114,2024-10-01,1432.86,143.29,41.0,UPI,Delivered,Rohan Agarwal,Chennai,2025-01-16,Instagram Ads,Chaayos,North Indian,Mumbai,4.1,2024,10,-107,True,False,False,1289.57
O000109,C00852,R0049,2025-12-06,734.06,0.0,24.0,UPI,Cancelled,Sneha Patel,Bengaluru,2024-05-14,WhatsApp Campaign,Barbeque Nation,Fast Food,Bengaluru,4.1,2025,12,571,False,True,False,734.06
O000110,C02195,R0054,2024-05-18,517.16,0.0,51.0,UPI,Refunded,Rahul Sharma,Bengaluru,2024-02-04,WhatsApp Campaign,Domino's Pizza,Pizza,Hyderabad,4.1,2024,5,104,False,False,True,517.16
O000111,C04711,R0196,2025-10-03,371.66,0.0,31.0,Wallet,Refunded,Amit Kumar,Chennai,2024-05-17,Organic,Burger King,Healthy,Pune,3.7,2025,10,504,False,False,True,371.66
O000112,C03216,R0172,2025-06-16,925.25,92.53,25.0,Wallet,Delivered,Arjun Gupta,Gurugram,2025-04-03,WhatsApp Campaign,Subway,Pizza,Hyderabad,4.4,2025,6,74,True,False,False,832.72
O000113,C01212,R0052,2024-09-16,1045.84,0.0,30.0,Card,Refunded,Priya Verma,Noida,2024-08-01,Google Ads,Behrouz Biryani,Pizza,Pune,3.9,2024,9,46,False,False,True,1045.84
O000114,C00794,R0124,2025-03-12,460.05,46.01,45.0,Cash,Refunded,Priya Verma,Delhi,2025-05-10,Referral,Barbeque Nation,Pizza,Gurugram,3.8,2025,3,-59,False,False,True,414.04
O000115,C00967,R0048,2024-05-19,1354.52,0.0,32.0,UPI,Delivered,Ananya Mishra,Hyderabad,2024-06-01,Referral,Chaayos,Biryani,Pune,4.0,2024,5,-13,True,False,False,1354.52
O000116,C04532,R0025,2024-09-13,1038.31,0.0,36.0,Cash,Cancelled,Arjun Gupta,Mumbai,2024-09-05,Instagram Ads,Haldiram's,Fast Food,Pune,4.8,2024,9,8,False,True,False,1038.31
O000117,C01816,R0145,2025-07-14,1525.33,0.0,39.0,Cash,Delivered,Arjun Gupta,Bengaluru,2024-03-31,Instagram Ads,Behrouz Biryani,Fast Food,Bengaluru,4.5,2025,7,470,True,False,False,1525.33
O000118,C02673,R0198,2024-07-05,1341.03,0.0,55.0,Cash,Delivered,Priya Verma,Bengaluru,2024-08-21,Referral,McDonald's,Healthy,Bengaluru,3.7,2024,7,-47,True,False,False,1341.03
O000119,C02990,R0116,2025-10-11,1394.17,0.0,27.0,Cash,Delivered,Ananya Mishra,Bengaluru,2025-08-04,Instagram Ads,Haldiram's,Healthy,Delhi,4.6,2025,10,68,True,False,False,1394.17
O000120,C01024,R0004,2026-03-22,599.44,0.0,55.0,UPI,Refunded,Rahul Sharma,Delhi,2025-05-16,Instagram Ads,KFC,Pizza,Pune,4.4,2026,3,310,False,False,True,599.44
O000121,C00905,R0020,2025-04-29,370.69,37.07,20.0,Cash,Delivered,Neha Singh,Noida,2024-04-09,WhatsApp Campaign,Burger King,Fast Food,Noida,4.9,2025,4,385,True,False,False,333.62
O000122,C03431,R0025,2024-12-15,1432.04,0.0,26.0,Cash,Delivered,Ananya Mishra,Pune,2024-08-22,Organic,Haldiram's,Fast Food,Pune,4.8,2024,12,115,True,False,False,1432.04
O000123,C00390,R0103,2026-04-24,1156.12,0.0,32.0,UPI,Refunded,Priya Verma,Gurugram,2025-01-29,Instagram Ads,Haldiram's,Pizza,Chennai,4.9,2026,4,450,False,False,True,1156.12
O000124,C03305,R0196,2024-05-01,591.87,59.19,31.0,Cash,Refunded,Arjun Gupta,Pune,2024-10-25,Organic,Burger King,Healthy,Pune,3.7,2024,5,-177,False,False,True,532.6800000000001
